time,T_sensor,Output
134.8466305732727,102.145,"+000.00
"
136.37121558189392,102.145,"+000.00
"
137.89432168006897,102.146,"+000.00
"
139.41961121559143,102.145,"+000.00
"
140.95359921455383,102.146,"+000.00
"
142.48115015029907,102.146,"+000.00
"
144.00426054000854,102.146,"+000.00
"
145.53400182724,102.146,"+000.00
"
147.07142090797424,102.146,"+000.00
"
148.60344529151917,102.147,"+000.00
"
150.12310028076172,102.146,"+000.00
"
151.64892721176147,102.146,"+000.00
"
153.17235374450684,102.147,"+000.00
"
154.70198798179626,102.147,"+000.00
"
156.22975039482117,102.147,"+000.00
"
157.7527551651001,102.147,"+000.00
"
159.27852773666382,102.148,"+000.00
"
160.80375623703003,102.148,"+000.00
"
162.3297085762024,102.148,"+000.00
"
163.85711479187012,102.148,"+000.00
"
165.3833348751068,102.149,"+000.00
"
166.90687108039856,102.148,"+000.00
"
168.43454766273499,102.149,"+000.00
"
169.95957684516907,102.149,"+000.00
"
171.48406147956848,102.149,"+000.00
"
173.00997829437256,102.148,"+000.00
"
174.53441619873047,102.148,"+000.00
"
176.06215405464172,102.148,"+000.00
"
177.58930730819702,102.148,"+000.00
"
179.11513662338257,102.147,"+000.00
"
180.634450674057,102.147,"+000.00
"
182.1524693965912,102.146,"+000.00
"
183.6769666671753,102.146,"+000.00
"
185.20215964317322,102.145,"+000.00
"
186.7289764881134,102.144,"+000.00
"
188.25416827201843,102.143,"+000.00
"
189.7792568206787,102.143,"+000.00
"
191.3092451095581,102.142,"+000.00
"
192.83427739143372,102.141,"+000.00
"
194.3628032207489,102.14,"+000.00
"
195.88702869415283,102.139,"+000.00
"
197.4120695590973,102.139,"+000.00
"
198.94002985954285,102.138,"+000.00
"
200.46247124671936,102.137,"+000.00
"
201.98845911026,102.137,"+000.00
"
203.5175518989563,102.136,"+000.00
"
205.0495104789734,102.135,"+000.00
"
206.57640933990479,102.134,"+000.00
"
208.10525512695312,102.134,"+000.00
"
209.63369870185852,102.133,"+000.00
"
211.15959191322327,102.132,"+000.00
"
212.68773746490479,102.132,"+000.00
"
214.21333837509155,102.131,"+000.00
"
215.73762345314026,102.13,"+000.00
"
217.26175951957703,102.129,"+000.00
"
218.79006052017212,102.128,"+000.00
"
220.3211739063263,102.127,"+000.00
"
221.84671330451965,102.127,"+000.00
"
223.37391424179077,102.126,"+000.00
"
224.90202164649963,102.125,"+000.00
"
226.42798399925232,102.124,"+000.00
"
227.95127725601196,102.124,"+000.00
"
229.47971749305725,102.123,"+000.00
"
231.00230813026428,102.123,"+000.00
"
232.52510452270508,102.122,"+000.00
"
234.05282473564148,102.122,"+000.00
"
235.5803439617157,102.121,"+000.00
"
237.10612225532532,102.121,"+000.00
"
238.6376645565033,102.121,"+000.00
"
240.17374348640442,102.12,"+000.00
"
241.7021827697754,102.12,"+000.00
"
