time,temp,output,slope,
421.4592066,136.553,55,,
422.5841262,136.557,55,,
423.7097652,136.56,55,,
424.8361228,136.564,55,,
425.9640999,136.567,55,,
427.0797553,136.571,55,,
428.1954622,136.575,55,,
429.3166451,136.579,55,,
430.4397886,136.582,55,,
431.5638247,136.586,55,,
432.6836026,136.589,55,,
433.8060596,136.593,55,,
434.9304459,136.596,55,,
436.0543802,136.6,55,,
437.1802742,136.603,55,,
438.3019388,136.607,55,,
439.4247916,136.61,55,,
440.5437295,136.614,55,,
441.6570535,136.617,55,,
442.7721014,136.621,55,,
443.8870242,136.625,55,,
445.0087335,136.628,55,,
446.1305456,136.632,55,,
447.2525787,136.635,55,,
448.3799176,136.638,55,,
449.5090737,136.642,55,,
450.6392419,136.645,55,,
451.7677052,136.648,55,,
452.892267,136.652,55,,
454.0197735,136.656,55,,
455.1375163,136.659,55,,
456.2552836,136.662,55,,
457.3701904,136.665,55,,
458.4868305,136.669,55,,
459.6109984,136.672,55,,
460.7392435,136.675,55,,
461.8713877,136.679,55,,
462.9972301,136.682,55,,
464.113447,136.685,55,,
465.2420313,136.688,55,,
466.3667135,136.692,55,,
467.4953201,136.695,55,,
468.6235135,136.698,55,,
469.7549508,136.701,55,,
470.8854463,136.705,55,,
472.0061498,136.708,55,,
473.1307302,136.711,55,,
474.257859,136.714,55,,
475.3711267,136.717,55,,
476.4849031,136.72,55,,
477.6095171,136.724,55,,
478.7348375,136.726,55,,
479.8529029,136.73,55,,
480.9784734,136.732,55,,
482.1004157,136.736,55,,
483.2249105,136.739,55,,
484.3478272,136.742,55,,
485.4748034,136.745,55,,
486.5973132,136.748,55,,
487.7216284,136.751,55,,
488.8486626,136.754,55,,
489.9686236,136.757,55,,
491.0889854,136.76,55,,
492.2153511,136.763,55,,
493.3364618,136.766,55,,
494.4583554,136.769,55,,
495.5844264,136.772,55,,
496.7034783,136.775,55,,
497.8274076,136.778,55,,
498.9514437,136.78,55,,
500.0678635,136.783,55,,
501.1923625,136.787,55,,
502.3150914,136.79,55,,
503.4344356,136.792,55,,
504.5586145,136.795,55,,
505.6818259,136.798,55,,
506.8016434,136.801,55,,
507.9206798,136.804,55,,
509.0466821,136.807,55,,
510.1697717,136.809,55,,
511.295356,136.813,55,,
512.4189446,136.815,55,,
513.5434842,136.817,55,,
514.6645553,136.82,55,,
515.791857,136.824,55,,
516.9186127,136.826,55,,
518.0502279,136.829,55,,
519.1684489,136.832,55,,
520.2879465,136.834,55,,
521.4020798,136.837,55,,
522.5258861,136.84,55,,
523.6410801,136.843,55,,
524.7706242,136.845,55,,
525.8925879,136.848,55,,
527.0118847,136.851,55,,
528.1396179,136.853,55,,
529.2617195,136.856,55,,
530.3881772,136.859,55,,
531.5113297,136.861,55,,
532.6339347,136.864,55,,
533.7594349,136.866,55,,
534.8824489,136.869,55,,
536.0035694,136.872,55,,
537.1317334,136.875,55,,
538.2526453,136.877,55,,
539.3779247,136.88,55,,
540.4970655,136.882,55,,
541.6149783,136.885,55,,
542.7407658,136.887,55,,
543.855005,136.89,55,,
544.9758816,136.892,55,,
546.0921369,136.895,55,,
547.2161925,136.898,55,,
548.3484128,136.9,55,,
549.4662597,136.903,55,,
550.5846534,136.905,55,,
551.7155833,136.908,55,,
552.8316035,136.91,55,,
553.9606166,136.913,55,,
555.0768638,136.915,55,,
556.1933305,136.918,55,,
557.3092368,136.92,55,,
558.4264128,136.923,55,,
559.547354,136.925,55,,
560.6772189,136.927,55,,
561.7972429,136.93,55,,
562.9268312,136.933,55,,
564.0448127,136.935,55,,
565.175884,136.937,55,,
566.2935572,136.939,55,,
567.4237747,136.942,55,,
568.5418756,136.944,55,,
569.6706152,136.946,55,,
570.7935715,136.949,55,,
571.9140778,136.951,55,,
573.0419972,136.954,55,,
574.1581488,136.956,55,,
575.2754731,136.958,55,,
576.3999865,136.961,55,,
577.5158329,136.963,55,,
578.6422806,136.965,55,,
579.7613888,136.967,55,,
580.8803,136.97,55,,
581.996798,136.972,55,,
583.1148047,136.974,55,,
584.2315421,136.976,55,,
585.3467524,136.979,55,,
586.4608428,136.981,55,,
587.5804038,136.983,55,,
588.6993597,136.986,55,,
589.8149767,136.988,55,,
590.9332552,136.99,55,,
592.0490236,136.992,55,,
593.167134,136.994,55,,
594.283808,136.996,55,,
595.4046729,136.998,55,,
596.5292118,137.001,55,,
597.6562417,137.003,55,,
598.7852399,137.005,55,,
599.9168911,137.007,55,,
601.0455382,137.009,55,0.005621518,
602.1717477,137.011,55,0.005598261,
603.2916811,137.014,55,0.005574728,
604.4118671,137.016,55,0.005551068,
605.5400133,137.018,55,0.005527355,
606.6567447,137.02,55,0.005503648,
607.7878418,137.022,55,0.005480001,
608.9042091,137.024,55,0.005456398,
610.0223539,137.026,55,0.005432877,
611.1493695,137.028,55,0.005409439,
612.2763276,137.03,55,0.00538614,
613.4027982,137.032,55,0.005362943,
614.5296345,137.034,55,0.00533987,
615.643616,137.036,55,0.005316922,
616.757441,137.039,55,0.005294101,
617.8740253,137.04,55,0.005271426,
618.9957528,137.042,55,0.005248897,
620.1147265,137.044,55,0.005226497,
621.2431784,137.046,55,0.005204264,
622.3605797,137.049,55,0.005182182,
623.4846048,137.05,55,0.005160213,
624.6003115,137.052,55,0.005138379,
625.7222428,137.054,55,0.005116681,
626.8462474,137.056,55,0.005095155,
627.974268,137.058,55,0.005073748,
629.1008451,137.06,55,0.00505248,
630.2174952,137.062,55,0.005031332,
631.3357811,137.064,55,0.005010325,
632.4502263,137.066,55,0.004989479,
633.5771294,137.068,55,0.004968738,
634.7016048,137.07,55,0.00494814,
635.8298144,137.072,55,0.004927667,
636.956779,137.074,55,0.004907341,
638.087774,137.076,55,0.004887141,
639.2172477,137.078,55,0.004867051,
640.3312318,137.08,55,0.004847092,
641.4583509,137.081,55,0.004827245,
642.5779622,137.083,55,0.004807531,
643.7106369,137.085,55,0.004787931,
644.8385787,137.087,55,0.004768447,
645.9627957,137.089,55,0.004749059,
647.0841141,137.091,55,0.004729827,
648.2220547,137.093,55,0.004710693,
649.3472404,137.094,55,0.00469166,
650.4766717,137.096,55,0.004672729,
651.5936389,137.098,55,0.004653919,
652.7197425,137.1,55,0.004635232,
653.8444042,137.102,55,0.004616631,
654.9645162,137.104,55,0.004598136,
656.0909414,137.105,55,0.004579766,
657.219487,137.107,55,0.004561484,
658.3439896,137.109,55,0.00454331,
659.4665318,137.111,55,0.004525227,
660.6010702,137.113,55,0.004507272,
661.7258501,137.114,55,0.004489391,
662.8495884,137.116,55,0.004471622,
663.9759698,137.118,55,0.004453947,
665.1019449,137.119,55,0.004436368,
666.2325823,137.121,55,0.004418883,
667.3582578,137.123,55,0.004401496,
668.4756193,137.125,55,0.004384207,
669.5987954,137.126,55,0.004367017,
670.7182066,137.128,55,0.004349909,
671.8427625,137.13,55,0.004332901,
672.9625552,137.132,55,0.004315995,
674.0899069,137.133,55,0.004299153,
675.2235498,137.135,55,0.004282396,
676.3425505,137.137,55,0.004265743,
677.4713676,137.138,55,0.004249156,
678.5873291,137.14,55,0.004232658,
679.7065587,137.142,55,0.004216246,
680.8263962,137.143,55,0.004199924,
681.9440873,137.145,55,0.004183692,
683.0716476,137.147,55,0.004167548,
684.1998577,137.148,55,0.004151458,
685.3267252,137.15,55,0.004135476,
686.4470098,137.152,55,0.004119588,
687.5712035,137.153,55,0.004103756,
688.6947379,137.155,55,0.004088018,
689.8175843,137.156,55,0.004072355,
690.9415686,137.158,55,0.00405677,
692.065048,137.16,55,0.004041262,
693.181417,137.161,55,0.004025813,
694.3027518,137.163,55,0.004010445,
695.4251523,137.164,55,0.003995156,
696.5500405,137.166,55,0.003979947,
697.6739814,137.167,55,0.0039648,
698.799479,137.169,55,0.003949754,
699.9222291,137.17,55,0.003934754,
701.0414362,137.172,55,0.003919837,
702.1695633,137.173,55,0.003904966,
703.294457,137.175,55,0.003890198,
704.4174669,137.177,55,0.003875497,
705.5449171,137.178,55,0.003860864,
706.6696517,137.179,55,0.00384628,
707.7912111,137.181,55,0.003831783,
708.914109,137.183,55,0.003817375,
710.042474,137.184,55,0.003803018,
711.1626234,137.186,55,0.003788733,
712.2899454,137.187,55,0.003774519,
