time,T_sensor
177.69136142730713,102.187
178.48528409004211,102.187
179.22047781944275,102.187
180.016179561615,102.187
180.75215411186218,102.188
181.66527366638184,102.188
182.2623245716095,102.188
183.19123029708862,102.189
183.78332662582397,102.189
184.71131372451782,102.189
185.2973611354828,102.189
186.2248830795288,102.19
186.81503868103027,102.19
187.74398636817932,102.19
188.32732605934143,102.19
189.27113223075867,102.191
189.85210013389587,102.191
190.79552459716797,102.191
191.3698751926422,102.192
192.322514295578,102.192
192.8981351852417,102.192
193.8477246761322,102.192
194.42513847351074,102.193
195.37632656097412,102.193
195.95201587677002,102.193
196.90784692764282,102.193
197.4840738773346,102.193
198.44405722618103,102.193
199.00435209274292,102.194
199.9743673801422,102.194
200.5378098487854,102.194
201.50041556358337,102.195
202.0591402053833,102.195
203.01991248130798,102.195
