time,temp,heater output,goal temp
511.1221237182617,126.001,45.0,118.1628437185665
512.638623714447,125.994,45.0,118.1628437185665
514.1728241443634,125.988,45.0,118.1628437185665
515.6978764533997,125.981,45.0,118.1628437185665
517.2222003936768,125.974,45.0,118.1628437185665
518.7605152130127,125.967,45.0,118.1628437185665
520.2883665561676,125.961,45.0,118.1628437185665
521.8331606388092,125.955,45.0,118.1628437185665
523.3685507774353,125.948,45.0,118.1628437185665
524.9034357070923,125.941,45.0,118.1628437185665
526.4177522659302,125.935,45.0,118.1628437185665
527.9386229515076,125.928,45.0,118.1628437185665
529.449334859848,125.922,45.0,118.1628437185665
530.9818778038025,125.915,45.0,118.1628437185665
532.5207850933075,125.909,45.0,118.1628437185665
534.0500497817993,125.902,45.0,118.1628437185665
535.5762274265289,125.896,45.0,118.1628437185665
537.1103065013885,125.889,45.0,118.1628437185665
538.6459150314331,125.883,45.0,118.1628437185665
540.1789889335632,125.877,45.0,118.1628437185665
541.7052145004272,125.87,45.0,118.1628437185665
543.2261648178101,125.864,45.0,118.1628437185665
544.7446541786194,125.858,45.0,118.1628437185665
546.2833685874939,125.851,45.0,118.1628437185665
547.8219258785248,125.845,45.0,118.1628437185665
549.3557302951813,125.839,45.0,118.1628437185665
550.8768084049225,125.833,45.0,118.1628437185665
552.41361951828,125.826,45.0,118.1628437185665
553.9409537315369,125.82,45.0,118.1628437185665
555.463262796402,125.814,45.0,118.1628437185665
557.0023472309113,125.808,45.0,118.1628437185665
558.5221252441406,125.802,45.0,118.1628437185665
560.0512547492981,125.795,45.0,118.1628437185665
561.5849373340607,125.789,45.0,118.1628437185665
563.1227979660034,125.783,45.0,118.1628437185665
564.651615858078,125.776,45.0,118.1628437185665
566.186995267868,125.769,45.0,118.1628437185665
567.7210342884064,125.763,45.0,118.1628437185665
569.2575900554657,125.757,45.0,118.1628437185665
570.7789068222046,125.75,45.0,118.1628437185665
572.3070340156555,125.743,45.0,118.1628437185665
573.8361818790436,125.737,45.0,118.1628437185665
575.3544619083405,125.731,45.0,118.1628437185665
576.8627274036407,125.724,45.0,118.1628437185665
578.3899710178375,125.717,45.0,118.1628437185665
579.9158883094788,125.711,45.0,118.1628437185665
581.4525327682495,125.704,45.0,118.1628437185665
582.9856159687042,125.697,45.0,118.1628437185665
584.5259611606598,125.69,45.0,118.1628437185665
586.0596179962158,125.683,45.0,118.1628437185665
587.5951180458069,125.677,45.0,118.1628437185665
589.1313199996948,125.669,45.0,118.1628437185665
590.6492795944214,125.663,45.0,118.1628437185665
592.1826362609863,125.656,45.0,118.1628437185665
593.722494840622,125.649,45.0,118.1628437185665
595.2632303237915,125.642,45.0,118.1628437185665
596.7978267669678,125.636,45.0,118.1628437185665
598.3219318389893,125.629,45.0,118.1628437185665
599.8605592250824,125.622,45.0,118.1628437185665
601.3885180950165,125.615,45.0,118.1628437185665
602.9279947280884,125.609,45.0,118.1628437185665
604.4654965400696,125.602,45.0,118.1628437185665
605.9991202354431,125.596,45.0,118.1628437185665
607.5223286151886,125.589,45.0,118.1628437185665
609.053959608078,125.582,45.0,118.1628437185665
610.5768749713898,125.576,45.0,118.1628437185665
612.1021866798401,125.569,45.0,118.1628437185665
613.6349968910217,125.563,45.0,118.1628437185665
615.174902677536,125.556,45.0,118.1628437185665
616.7108836174011,125.55,45.0,118.1628437185665
